Date : 2026-08-04 12:46:31
Directory : d:\dptui\mm (1)\SDF
Total : 1705 files,  510249 codes, 114883 comments, 72432 blanks, all 697564 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| openhitls\testcode\sdv\testcase\crypto\xmss                                                                                              |          1 |      1,060 |        253 |        141 |      1,454 |
| openhitls\testcode\sdv\testcase\pki                                                                                                      |         13 |     25,844 |      4,999 |      3,854 |     34,697 |
| openhitls\testcode\sdv\testcase\pki\cert                                                                                                 |          2 |      5,107 |        921 |        659 |      6,687 |
| openhitls\testcode\sdv\testcase\pki\cms                                                                                                  |          2 |      2,518 |        680 |        255 |      3,453 |
| openhitls\testcode\sdv\testcase\pki\common                                                                                               |          2 |      4,129 |        733 |        611 |      5,473 |
| openhitls\testcode\sdv\testcase\pki\crl                                                                                                  |          2 |      3,884 |        989 |        568 |      5,441 |
| openhitls\testcode\sdv\testcase\pki\csr                                                                                                  |          1 |      1,218 |        183 |        222 |      1,623 |
| openhitls\testcode\sdv\testcase\pki\pkcs12                                                                                               |          2 |      2,909 |        510 |        459 |      3,878 |
| openhitls\testcode\sdv\testcase\pki\verify                                                                                               |          2 |      6,079 |        983 |      1,080 |      8,142 |
| openhitls\testcode\sdv\testcase\tls                                                                                                      |         82 |     60,232 |     22,362 |     10,679 |     93,273 |
| openhitls\testcode\sdv\testcase\tls\ciphersuite                                                                                          |          4 |        570 |        146 |         82 |        798 |
| openhitls\testcode\sdv\testcase\tls\consistency                                                                                          |         43 |     40,267 |     14,120 |      6,706 |     61,093 |
| openhitls\testcode\sdv\testcase\tls\consistency\dtlcp                                                                                    |          3 |      1,306 |        479 |        203 |      1,988 |
| openhitls\testcode\sdv\testcase\tls\consistency\dtls12                                                                                   |          4 |      3,249 |        994 |        310 |      4,553 |
| openhitls\testcode\sdv\testcase\tls\consistency\tlcp                                                                                     |          5 |      4,388 |      1,339 |        787 |      6,514 |
| openhitls\testcode\sdv\testcase\tls\consistency\tls12                                                                                    |         15 |     12,042 |      4,358 |      2,154 |     18,554 |
| openhitls\testcode\sdv\testcase\tls\consistency\tls13                                                                                    |         16 |     19,282 |      6,950 |      3,252 |     29,484 |
| openhitls\testcode\sdv\testcase\tls\custom                                                                                               |          1 |        782 |        203 |        131 |      1,116 |
| openhitls\testcode\sdv\testcase\tls\feature                                                                                              |         22 |      6,732 |      2,131 |      1,386 |     10,249 |
| openhitls\testcode\sdv\testcase\tls\interface                                                                                            |          4 |      5,520 |      2,631 |      1,113 |      9,264 |
| openhitls\testcode\sdv\testcase\tls\interface_tlcp                                                                                       |          8 |      6,361 |      3,131 |      1,261 |     10,753 |
| openhitls\testcode\test_config                                                                                                           |          2 |        298 |          0 |         16 |        314 |
| openhitls\testcode\testdata                                                                                                              |         18 |      4,047 |        354 |        501 |      4,902 |
| openhitls\testcode\testdata\cert                                                                                                         |          2 |        408 |        121 |        102 |        631 |
| openhitls\testcode\testdata\cert\chain                                                                                                   |          2 |        408 |        121 |        102 |        631 |
| openhitls\testcode\testdata\cert\chain\v1_inter                                                                                          |          1 |        203 |         49 |         50 |        302 |
| openhitls\testcode\testdata\cert\chain\v3_exts                                                                                           |          1 |        205 |         72 |         52 |        329 |
| openhitls\testcode\testdata\provider                                                                                                     |         15 |      3,629 |        232 |        396 |      4,257 |
| openhitls\testcode\testdata\tls                                                                                                          |          1 |         10 |          1 |          3 |         14 |
| openhitls\testcode\testdata\tls\certificate                                                                                              |          1 |         10 |          1 |          3 |         14 |
| openhitls\testcode\testdata\tls\certificate\der                                                                                          |          1 |         10 |          1 |          3 |         14 |
| openhitls\testcode\testdata\tls\certificate\der\rsa_pss_rsae                                                                             |          1 |         10 |          1 |          3 |         14 |
| openhitls\tls                                                                                                                            |        216 |     47,861 |     11,126 |      6,130 |     65,117 |
| openhitls\tls (Files)                                                                                                                    |          1 |         61 |          0 |         19 |         80 |
| openhitls\tls\alert                                                                                                                      |          3 |        309 |        136 |         49 |        494 |
| openhitls\tls\alert (Files)                                                                                                              |          1 |         26 |          0 |          7 |         33 |
| openhitls\tls\alert\include                                                                                                              |          1 |         44 |        107 |         22 |        173 |
| openhitls\tls\alert\src                                                                                                                  |          1 |        239 |         29 |         20 |        288 |
| openhitls\tls\app                                                                                                                        |          4 |        178 |         90 |         34 |        302 |
| openhitls\tls\app (Files)                                                                                                                |          1 |         26 |          0 |          7 |         33 |
| openhitls\tls\app\include                                                                                                                |          1 |         15 |         56 |          9 |         80 |
| openhitls\tls\app\src                                                                                                                    |          2 |        137 |         34 |         18 |        189 |
| openhitls\tls\ccs                                                                                                                        |          3 |        238 |        104 |         32 |        374 |
| openhitls\tls\ccs (Files)                                                                                                                |          1 |         27 |          0 |          7 |         34 |
| openhitls\tls\ccs\include                                                                                                                |          1 |         19 |         78 |         12 |        109 |
| openhitls\tls\ccs\src                                                                                                                    |          1 |        192 |         26 |         13 |        231 |
| openhitls\tls\cert                                                                                                                       |         19 |      3,063 |        877 |        375 |      4,315 |
| openhitls\tls\cert (Files)                                                                                                               |          1 |         47 |          0 |          8 |         55 |
| openhitls\tls\cert\cert_adapt                                                                                                            |          7 |      1,851 |        145 |        190 |      2,186 |
| openhitls\tls\cert\hitls_x509_adapt                                                                                                      |          7 |        916 |        104 |         71 |      1,091 |
| openhitls\tls\cert\include                                                                                                               |          4 |        249 |        628 |        106 |        983 |
| openhitls\tls\cm                                                                                                                         |         12 |      4,077 |        541 |        651 |      5,269 |
| openhitls\tls\cm (Files)                                                                                                                 |          1 |         36 |          0 |          7 |         43 |
| openhitls\tls\cm\include                                                                                                                 |          1 |         14 |         28 |          7 |         49 |
| openhitls\tls\cm\src                                                                                                                     |         10 |      4,027 |        513 |        637 |      5,177 |
| openhitls\tls\config                                                                                                                     |         16 |      7,804 |        476 |        727 |      9,007 |
| openhitls\tls\config (Files)                                                                                                             |          1 |         27 |          0 |          7 |         34 |
| openhitls\tls\config\include                                                                                                             |          3 |        123 |         80 |         34 |        237 |
| openhitls\tls\config\src                                                                                                                 |         12 |      7,654 |        396 |        686 |      8,736 |
| openhitls\tls\crypt                                                                                                                      |          8 |      2,409 |      1,186 |        335 |      3,930 |
| openhitls\tls\crypt (Files)                                                                                                              |          1 |         39 |          0 |          8 |         47 |
| openhitls\tls\crypt\crypt_adapt                                                                                                          |          1 |        854 |         27 |         73 |        954 |
| openhitls\tls\crypt\crypt_self                                                                                                           |          5 |      1,398 |        729 |        206 |      2,333 |
| openhitls\tls\crypt\include                                                                                                              |          1 |        118 |        430 |         48 |        596 |
| openhitls\tls\feature                                                                                                                    |         14 |      3,055 |        357 |        473 |      3,885 |
| openhitls\tls\feature (Files)                                                                                                            |          1 |         72 |          0 |          7 |         79 |
| openhitls\tls\feature\alpn                                                                                                               |          1 |         66 |         14 |          9 |         89 |
| openhitls\tls\feature\alpn\src                                                                                                           |          1 |         66 |         14 |          9 |         89 |
| openhitls\tls\feature\custom_extensions                                                                                                  |          1 |        227 |         15 |         41 |        283 |
| openhitls\tls\feature\custom_extensions\src                                                                                              |          1 |        227 |         15 |         41 |        283 |
| openhitls\tls\feature\indicator                                                                                                          |          1 |         20 |         14 |          4 |         38 |
| openhitls\tls\feature\indicator\src                                                                                                      |          1 |         20 |         14 |          4 |         38 |
| openhitls\tls\feature\security                                                                                                           |          2 |        272 |         52 |         39 |        363 |
| openhitls\tls\feature\security\src                                                                                                       |          2 |        272 |         52 |         39 |        363 |
| openhitls\tls\feature\session                                                                                                            |          7 |      2,276 |        238 |        360 |      2,874 |
| openhitls\tls\feature\session\src                                                                                                        |          7 |      2,276 |        238 |        360 |      2,874 |
| openhitls\tls\feature\sni                                                                                                                |          1 |        122 |         24 |         13 |        159 |
| openhitls\tls\feature\sni\src                                                                                                            |          1 |        122 |         24 |         13 |        159 |
| openhitls\tls\handshake                                                                                                                  |         97 |     21,059 |      4,937 |      2,534 |     28,530 |
| openhitls\tls\handshake (Files)                                                                                                          |          1 |        220 |          0 |         16 |        236 |
| openhitls\tls\handshake\common                                                                                                           |         16 |      4,139 |      1,043 |        489 |      5,671 |
| openhitls\tls\handshake\common\include                                                                                                   |          9 |        806 |        742 |        183 |      1,731 |
| openhitls\tls\handshake\common\src                                                                                                       |          7 |      3,333 |        301 |        306 |      3,940 |
| openhitls\tls\handshake\cookie                                                                                                           |          2 |        276 |        105 |         42 |        423 |
| openhitls\tls\handshake\cookie\include                                                                                                   |          1 |         16 |         38 |          7 |         61 |
| openhitls\tls\handshake\cookie\src                                                                                                       |          1 |        260 |         67 |         35 |        362 |
| openhitls\tls\handshake\include                                                                                                          |          1 |         27 |        105 |         20 |        152 |
| openhitls\tls\handshake\pack                                                                                                             |         19 |      3,233 |        823 |        507 |      4,563 |
| openhitls\tls\handshake\pack\include                                                                                                     |          1 |         25 |        151 |         18 |        194 |
| openhitls\tls\handshake\pack\src                                                                                                         |         18 |      3,208 |        672 |        489 |      4,369 |
| openhitls\tls\handshake\parse                                                                                                            |         21 |      4,484 |      1,200 |        554 |      6,238 |
| openhitls\tls\handshake\parse\include                                                                                                    |          1 |         15 |         51 |         11 |         77 |
| openhitls\tls\handshake\parse\src                                                                                                        |         20 |      4,469 |      1,149 |        543 |      6,161 |
| openhitls\tls\handshake\reass                                                                                                            |          2 |        248 |         88 |         41 |        377 |
| openhitls\tls\handshake\reass\include                                                                                                    |          1 |         18 |         45 |         12 |         75 |
| openhitls\tls\handshake\reass\src                                                                                                        |          1 |        230 |         43 |         29 |        302 |
| openhitls\tls\handshake\recv                                                                                                             |         15 |      5,244 |        868 |        513 |      6,625 |
| openhitls\tls\handshake\recv\include                                                                                                     |          2 |         54 |        220 |         34 |        308 |
| openhitls\tls\handshake\recv\src                                                                                                         |         13 |      5,190 |        648 |        479 |      6,317 |
| openhitls\tls\handshake\send                                                                                                             |         18 |      2,791 |        669 |        318 |      3,778 |
| openhitls\tls\handshake\send\include                                                                                                     |          1 |         13 |         31 |          6 |         50 |
| openhitls\tls\handshake\send\src                                                                                                         |         17 |      2,778 |        638 |        312 |      3,728 |
| openhitls\tls\handshake\sm                                                                                                               |          2 |        397 |         36 |         34 |        467 |
| openhitls\tls\handshake\sm\src                                                                                                           |          2 |        397 |         36 |         34 |        467 |
| openhitls\tls\include                                                                                                                    |         13 |      1,386 |      1,198 |        303 |      2,887 |
| openhitls\tls\record                                                                                                                     |         26 |      4,222 |      1,224 |        598 |      6,044 |
| openhitls\tls\record (Files)                                                                                                             |          1 |         47 |          0 |          8 |         55 |
| openhitls\tls\record\include                                                                                                             |          1 |         70 |        227 |         37 |        334 |
| openhitls\tls\record\src                                                                                                                 |         24 |      4,105 |        997 |        553 |      5,655 |
| scripts                                                                                                                                  |          3 |        165 |          0 |         18 |        183 |
| sdfx                                                                                                                                     |         89 |     17,877 |      1,623 |      2,600 |     22,100 |
| sdfx (Files)                                                                                                                             |          2 |        285 |          0 |         81 |        366 |
| sdfx\cmake                                                                                                                               |          2 |        227 |          0 |         32 |        259 |
| sdfx\cmake\modules                                                                                                                       |          1 |        219 |          0 |         30 |        249 |
| sdfx\cmake\toolchains                                                                                                                    |          1 |          8 |          0 |          2 |         10 |
| sdfx\common                                                                                                                              |          8 |        476 |         90 |        117 |        683 |
| sdfx\common (Files)                                                                                                                      |          1 |          3 |          0 |          1 |          4 |
